Name,Album,Artist,Album_Artist,Genre,Year,Date_Added,Group,Play_Count,Location,All_Artists,Comments,Composer
Five Voices / Mashup,Five Voices / Mashup [Single],3LAU,3LAU,Electro House,2014,2016-01-01 18:31:15,?,14,iTunes Media/Music/3LAU/Five Voices _ Mashup [Single]/Five Voices _ Mashup.mp3,3LAU,,
We Came To Bang [Original Mix],We Came To Bang [Single],3LAU (feat. Luciana),3LAU,Electro House,2014,2016-01-01 18:31:15,MUSICAL FREEDOM,25,iTunes Media/Music/3LAU/We Came To Bang [Single]/We Came To Bang [Original Mix].mp3,"3LAU, Luciana",,
Come Alive,Come Alive [Single],Adam K (feat. Matthew Steeper),Adam K,Electro Pop,2014,2016-01-01 18:31:15,ULTRA,6,iTunes Media/Music/Adam K/Come Alive [Single]/Come Alive.mp3,"Adam K, Matthew Steeper",,
Ghost Town [Tritonal Remix],Ghost Town [Single],Adam Lambert,Adam Lambert,Progressive House,2015,2016-01-01 18:31:15,WMG,20,iTunes Media/Music/Adam Lambert/Ghost Town [Single]/Ghost Town [Tritonal Remix].mp3,"Adam Lambert, Tritonal",,
Two Somethings,Two Somethings [Single],Adam Tell (feat. Emily Solo),Adam Tell,Drum & Bass,2015,2016-01-01 18:31:15,-,20,iTunes Media/Music/Adam Tell/Two Somethings [Single]/Two Somethings.mp3,"Adam Tell, Emily Solo",,
Stellar,Stellar [Single],Aerion,Aerion,Kawaii Future Bass,2015,2016-01-01 18:31:15,THE DISTRICT,9,iTunes Media/Music/Aerion/Stellar [Single]/Stellar.mp3,Aerion,,
As Your Friend,As Your Friend [Single],Afrojack (feat. Chris Brown),Afrojack,Progressive House,2013,2016-01-01 18:31:15,?,25,iTunes Media/Music/Afrojack/As Your Friend [Single]/As Your Friend.mp3,"Afrojack, Chris Brown",,
Turn Up The Speakers [Original Mix],Turn Up The Speakers [Single],Afrojack & Martin Garrix,Afrojack & Martin Garrix,Big Room,2014,2016-01-01 18:31:15,SPINNIN',22,iTunes Media/Music/Afrojack & Martin Garrix/Turn Up The Speakers [Single]/Turn Up The Speakers [Original Mix].mp3,"Afrojack, Martin Garrix",,
Fade,Fade [Single],Alan Walker,Alan Walker,Drumstep / Moombahcore,2014,2016-01-01 18:31:15,NCS,24,iTunes Media/Music/Alan Walker/Fade [Single]/Fade.mp3,Alan Walker,,
Whispers Under The Moonlight,Whispers Under The Moonlight [Single],ALB,ALB,Pop / Rock,2013,2016-01-01 18:31:15,?,21,iTunes Media/Music/ALB/Whispers Under The Moonlight [Single]/Whispers Under The Moonlight.mp3,ALB,,
Too Close,Too Close [Single],Alex Clare,Alex Clare,Chillstep,2011,2016-01-01 18:31:15,,29,iTunes Media/Music/Alex Clare/Too Close [Single]/Too Close.mp3,Alex Clare,,
Pretty Bad Day,Pretty Bad Day [Single],Allure (feat. Jordan Lee),Allure,Electro Swing,2013,2016-01-01 18:31:15,?,21,iTunes Media/Music/Allure/Pretty Bad Day [Single]/Pretty Bad Day.mp3,"Allure, Jordan Lee",,
The Man,Wake Me Up [EP],Aloe Blacc,Aloe Blacc,Pop,2013,2016-01-01 18:31:15,?,8,iTunes Media/Music/Aloe Blacc/Wake Me Up [EP]/The Man.mp3,Aloe Blacc,,
Bassface [Original Mix],Bassface [Single],Alpharock & JAGGS,Alpharock & JAGGS,Big Room,2015,2016-01-01 18:31:15,REVEALED,23,iTunes Media/Music/Alpharock & JAGGS/Bassface [Single]/Bassface [Original Mix].mp3,"Alpharock, JAGGS",,
Violence [Original Mix],Violence [Single],Anders Crawn & Dirty Palm,Anders Crawn & Dirty Palm,Melbourne Bounce,2015,2016-01-01 18:31:15,PANDA FUNK,15,iTunes Media/Music/Anders Crawn & Dirty Palm/Violence [Single]/Violence [Original Mix].mp3,"Anders Crawn, Dirty Palm",,
Together We Shine [Kevin Breton Remix],Together We Shine [Remix],ANDR3X (feat. Jonny Rose),ANDR3X,Progressive House,2014,2016-01-01 18:31:15,ULTRA,31,iTunes Media/Music/ANDR3X/Together We Shine [Remix]/Together We Shine [Kevin Breton Remi.mp3,"ANDR3X, Jonny Rose, Kevin Breton",,
Daylight [Club Mix],Daylight [Remix],Andrew Rayel (feat. Jonny Rose),Andrew Rayel,Trance,2015,2016-01-01 18:31:15,ARMIND,11,iTunes Media/Music/Andrew Rayel/Daylight [Remix]/Daylight [Club Mix].mp3,"Andrew Rayel, Jonny Rose",,
