Track_ID;Name;Album;Artist;Album_Artist;Genre;Year;Date_Added;Group;Play_Count
T0001;Five Voices / Mashup;Five Voices / Mashup [Single];3LAU;3LAU;House > Electro House;2014;01/01/2016 18:31;?;13
T0002;We Came To Bang [Original Mix];We Came To Bang [Single];3LAU (feat. Luciana);3LAU;House > Electro House;2014;01/01/2016 18:31;MUSICAL FREEDOM;23
T0003;Come Alive;Come Alive [Single];Adam K (feat. Matthew Steeper);Adam K;Electronic > Electro Pop;2014;01/01/2016 18:31;ULTRA;5
T0004;Ghost Town [Tritonal Remix];Ghost Town [Single];Adam Lambert;Adam Lambert;House > Progressive House;2015;01/01/2016 18:31;WMG;19
T0005;Two Somethings;Two Somethings [Single];Adam Tell (feat. Emily Solo);Adam Tell;Electronic > Drum & Bass;2015;01/01/2016 18:31;-;19
T0006;Stellar;Stellar [Single];Aerion;Aerion;Electronic >> Kawaii Future Bass;2015;01/01/2016 18:31;THE DISTRICT;7
T0007;Break Them;Break Them [Single];Aero Chord (feat. Anna Yvette);Aero Chord;Electronic >> Trapstep / Hybrid Trap;2014;01/01/2016 18:31;MONSTERCAT;9
T0008;As Your Friend;As Your Friend [Single];Afrojack (feat. Chris Brown);Afrojack;House > Progressive House;2013;01/01/2016 18:31;?;24
T0009;Turn Up The Speakers [Original Mix];Turn Up The Speakers [Single];Afrojack & Martin Garrix;Afrojack & Martin Garrix;House >> Big Room;2014;01/01/2016 18:31;SPINNIN';21
T0010;Fade;Fade [Single];Alan Walker;Alan Walker;Electronic >> Drumstep;2014;01/01/2016 18:31;NCS;10
T0011;Whispers Under The Moonlight;Whispers Under The Moonlight [Single];ALB;ALB;Pop / Rock;2013;01/01/2016 18:31;?;20
T0012;Too Close;Too Close [Single];Alex Clare;Alex Clare;Electronic >> Chillstep;2011;01/01/2016 18:31;;27
T0013;Pretty Bad Day;Pretty Bad Day [Single];Allure (feat. Jordan Lee);Allure;Electronic > Electro Swing;2013;01/01/2016 18:31;?;19
T0014;The Man;Wake Me Up [EP];Aloe Blacc;Aloe Blacc;Pop;2013;01/01/2016 18:31;?;7
T0015;Bassface [Original Mix];Bassface [Single];Alpharock & JAGGS;Alpharock & JAGGS;House >> Big Room;2015;01/01/2016 18:31;REVEALED;16
T0016;Violence [Original Mix];Violence [Single];Anders Crawn & Dirty Palm;Anders Crawn & Dirty Palm;House >> Melbourne Bounce;2015;01/01/2016 18:31;PANDA FUNK;15
T0017;Together We Shine [Kevin Breton Remix];Together We Shine [Remix];ANDR3X (feat. Jonny Rose);ANDR3X;House > Progressive House;2014;01/01/2016 18:31;ULTRA;31
T0018;Daylight [Club Mix];Daylight [Remix];Andrew Rayel (feat. Jonny Rose);Andrew Rayel;Trance;2015;01/01/2016 18:31;ARMIND;9
T0019;Chased [Original Mix];Chased [Single];Andrew Rayel & Mark Sixma;Andrew Rayel & Mark Sixma;Trance;2015;01/01/2016 18:31;ARMIND;13
T0020;Closure [Original Mix];Closure [Single];ANGEMI;ANGEMI;House > Progressive House;2015;01/01/2016 18:31;ETNA MUSIC / MUSICALLSTARS;12
T0021;Yeah [Original Mix];Future House Session Vol. 2;Anton Liss;Anton Liss;House > Future House / Future Bounce;2015;01/01/2016 18:31;HOUSESESSION;26
T0022;Lost At Sea;Lost At Sea [Single];APA (feat. Dave Thomas Junior);APA;Trance;2015;01/01/2016 18:31;ARMADA TRICE;17
T0023;Aim For Me;AИimals;Approaching Nirvana (feat. Chloe Dolandis);Approaching Nirvana;House > Progressive House;2014;01/01/2016 18:31;?;21
T0024;Memories Of You;AИimals;Approaching Nirvana;Approaching Nirvana;House;2014;01/01/2016 18:31;?;24
T0025;Mountains;AИimals;Approaching Nirvana;Approaching Nirvana;House > Deep House;2014;01/01/2016 18:31;?;17
